,Mimic enzyme activity,N,P,S,Si,Se,B,F,Cl,Br,I,Metal ratio,Metal type,Metal valence,Submetal ratio,Submetal type,Submetal valence,3rd metal ratio,3rd metal type,3rd metal valence,4th metal ratio,4th metal type,4th metal  valence,shape,Size/nm,Surface modification,Dispersion medium,Buffer pH value,Buffer pH,Temperature/℃,Substrate1,Substrate2,Substrate2 concentration(mM),Km/mM,Vmax/μM s-1,Kcat/s-1,"k cat /Km
(Catalytic efficiency )/M-1 s-1",Chemical_formula
Pd/rGO,0,0,0,0,0,0,0,0,0,0,0,100,46,0,33.3,30,2,2.28,62,0,5.77,26.5,2.5,0,6.67,0,0,4,0,35,0,0,50,0.4,0.03,345000000,3.33E+13,0
Pd/rGO,0,0,0,0,0,0,0,0,0,0,0,100,46,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,6.67,0,0,4,0,35,1,1,0.5,10.24,0.08,345000000,3.33E+13,0
Cu/rGO,0,0,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,2.28,62,0,5.77,26.5,2.5,0,5.83,0,0,4,0,35,0,0,50,0.48,0.03,345000000,3.33E+13,1
Cu/rGO,0,0,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,5.83,0,0,4,0,35,1,1,0.5,13.56,0.1,345000000,3.33E+13,1
Cu-Pd/rGO,0,0,0,0,0,0,0,0,0,0,0,53.92,29,0,46.08,46,0,16.64,58,4,9.375,26,2,0,5.74,0,0,4,0,35,0,0,50,0.21,0.04,345000000,3.33E+13,2
Cu-Pd/rGO,0,0,0,0,0,0,0,0,0,0,0,53.92,29,0,46.08,46,0,14.31,58,3.5,3.52,36.5,1.5,0,5.74,0,0,4,0,35,1,1,0.5,8.07,0.07,345000000,3.33E+13,2
Cu-Pd/g-C3N4,0,1,0,0,0,0,0,0,0,0,0,55.97,29,2,44.03,46,0,16.64,58,4,9.375,26,2,0,6.7,1,0,4,0,35,0,0,50,0.24,0.03,345000000,3.33E+13,3
Cu-Pd/g-C3N5,0,1,0,0,0,0,0,0,0,0,0,55.97,29,2,44.03,46,0,15.66,58,3.5,3.52,36.5,1.5,0,6.7,1,0,4,0,35,1,1,0.5,8.33,0.06,345000000,3.33E+13,4
Cu-Pd/MoS2,0,0,0,1,0,0,0,0,0,0,0,94.51,42,4,3.21,29,0,2.28,46,0,5.5,36,1,0,7.94,2,0,4,0,35,0,0,50,0.28,0.03,345000000,3.33E+13,5
Cu-Pd/MoS3,0,0,0,1,0,0,0,0,0,0,0,94.51,42,4,3.21,29,0,2.28,46,0,3.25,46,0,0,7.94,2,0,4,0,35,1,1,0.5,8.64,0.06,345000000,3.33E+13,6
